Name,Lat,Lng,,,,,,,
"موصل, السيد ابو حمزه الحديدي",36.4405815,43.1493546,,,,,,,
"موصل, اياد النعمات",36.4405633,43.1069567,,,,,,,
"موصل, حلاقة",36.440537,43.1057323,,,,,,,
"موصل, جمعية ذوي المهن الصحية",36.4405179,43.1340294,,,,,,,
"موصل, مكتب الاماني للتصوير",36.4404981,43.0896888,,,,,,,
"موصل, صيدلية القوسيات",36.4404951,43.1014402,,,,,,,
"موصل, مولدة الفهد",36.4404907,43.0894114,,,,,,,
"موصل, فارس العبادي",36.440473,43.107499,,,,,,,
"موصل, مكتب السعدون لتجارة العقارات",36.4404703,43.1004287,,,,,,,
"موصل, التعليم الثالثة",36.440434,43.1306475,,,,,,,
"موصل, مكتب الطارق 2",36.4404323,43.100496,,,,,,,
"موصل, مكتب ديجتال3للموبايل",36.4402848,43.1014712,,,,,,,
"موصل, مزرعة الحاج صباح الرحال الحديدي",36.4401782,43.1900393,,,,,,,
"موصل, اسواق الشكره",36.4401629,43.1055913,,,,,,,
"موصل, مرطبات وحلويات طيبة -3-",36.4401621,43.1015188,,,,,,,
"موصل, يحيى",36.4401505,43.1081387,,,,,,,
"موصل, مكتب سهم للعقار الفرع الاول",36.4401,43.1055314,,,,,,,
"موصل, جمعية غرفة تجارة",36.4400825,43.1078568,,,,,,,
"موصل, مكتب زمزم للموبايل و خدمات الانترنت",36.4400621,43.1004191,,,,,,,
"موصل, جامع الدكتور ضياء الدين الحنوش",36.4400574,43.10044,,,,,,,
"موصل, ابو نور البحار",36.4400455,43.1270349,,,,,,,
"موصل, مكتب ابو عذراء للعقار",36.4400408,43.1005763,,,,,,,
"موصل, المتوكل الحديث للعقار",36.4400405,43.100576,,,,,,,
"موصل, عمر هاشم للمفروشات",36.4400084,43.1055314,,,,,,,
"موصل, صيدلية ايهاب قوسيات",36.4400052,43.1055235,,,,,,,
"موصل, اراضي جمعية المثقفين",36.4399641,43.1406816,,,,,,,
"موصل, ماركت دعاء الخير",36.4399341,43.1094806,,,,,,,
"موصل, مكتب بكر للاستنساخ والموبايلات",36.4398948,43.0998631,,,,,,,
"موصل, مکتب ابو فھد للعقارات",36.4398931,43.1011767,,,,,,,
"موصل, جامع ابن القيم",36.4398436,43.1044346,,,,,,,
"موصل, القوسيات",36.4398425,43.1036257,,,,,,,
"موصل, حلاقه الشيخ",36.4397935,43.1006212,,,,,,,
"موصل, مركز الريان لخدمات الموبايل والانترنيت",36.439789,43.1007925,,,,,,,
"موصل, راشي القوسيات",36.4397555,43.101618,,,,,,,
"موصل, معرض دبي",36.4397549,43.1016135,,,,,,,
"موصل, اسواق عبد الله",36.4397417,43.101695,,,,,,,
"موصل, صيدلية العناية",36.4397394,43.10162,,,,,,,
"موصل, بيت",36.4397362,43.1564876,,,,,,,
"موصل, مطعم وماكولات الروابي بدارت ابو علي",36.4397127,43.101677,,,,,,,
"موصل, مكتب الوعد للاستنساخ",36.4397041,43.1016397,,,,,,,
"موصل, ملايين كوفي",36.4397024,43.1009085,,,,,,,
"موصل, منهل أبو اسماعيل العنزي",36.4396557,43.0969111,,,,,,,
"موصل, مجمع بغداد لبيع العدد اليدوية",36.4396455,43.1053399,,,,,,,
"موصل, شيخ عبد الرحمن الجوالي",36.4396125,43.0892344,,,,,,,
"موصل, معمل نجاره ودوشمه يوسف الهاشمي",36.4395595,43.1009531,,,,,,,
"موصل, حي التجاره السكني",36.4395279,43.1052586,,,,,,,
"موصل, مطعم ومشويات الزقورة",36.4395077,43.1017244,,,,,,,
"موصل, بيت النعيمي",36.4394978,43.1305338,,,,,,,
"موصل, ابو ارجوان العبيدي",36.4394378,43.1664007,,,,,,,
"موصل, مجمع حاج فيصل",36.4393844,43.1590729,,,,,,,
"موصل, غسل سما",36.4393277,43.1007843,,,,,,,
"موصل, ملعب ادريس",36.4392922,43.1046167,,,,,,,
"موصل, جامع الخلفاء",36.4392803,43.0848867,,,,,,,
"موصل, عامر الحيدر",36.4392637,43.1672952,,,,,,,
"موصل, جمعية اسكان المثقفين",36.4392064,43.1407152,,,,,,,
"موصل, ma7mood mobi",36.4391688,43.100359,,,,,,,
"موصل, Oday alali",36.4391616,43.1002648,,,,,,,
"موصل, قطعة ارض عبدالله شامل",36.4390697,43.1240171,,,,,,,
"موصل, الدعبار",36.4389576,43.0991806,,,,,,,
"موصل, مزرعة حسين عبدالله شمام",36.4389332,43.0642209,,,,,,,
"موصل, جامع بعويزه",36.4389125,43.1634448,,,,,,,
"موصل, مكتب الضمان الذهبي",36.4388741,43.1333572,,,,,,,
"موصل, مكتب الشيخ للعقار",36.438753,43.1233546,,,,,,,
"موصل, بيت أيوب الحمداني",36.4386716,43.1362647,,,,,,,
"موصل, ابو عمار الملا يوسف",36.4386184,43.1542231,,,,,,,
"موصل, مخازن الخيرات للتجميد والتبريد",36.4386133,43.1701937,,,,,,,
"موصل, مگتب ملك سيمو",36.4385778,43.0996255,,,,,,,
"موصل, مكتب ابو اسماعيل",36.4385718,43.0996398,,,,,,,
"موصل, كهربائيات المنار للتأسيس",36.4384245,43.1040656,,,,,,,
"موصل, مكتب القمة الذهبية",36.438412,43.128857,,,,,,,
"موصل, مكتب مسكان( لتجارة العقارات )",36.4372711,43.1180649,,,,,,,
"موصل, الملايين الثانية",36.4371311,43.094262,,,,,,,
"موصل, مكتب مساكن للعقار",36.4370806,43.1179689,,,,,,,
"موصل, حي الكهرباء مقاطعة ٣٦ بيسان",36.4370625,43.1128125,,,,,,,
"موصل, الارض مالتي",36.437037,43.1881145,,,,,,,
"موصل, ماركت ابو العز",36.4370284,43.1128066,,,,,,,
"موصل, العم محمد",36.437007,43.130997,,,,,,,
"موصل, محل اسعد الحداد",36.4370068,43.1541969,,,,,,,
"موصل, معمل غاز الكوثر",36.4369394,43.1154687,,,,,,,
"موصل, صالون ستايل ريان اللبناني",36.4368867,43.1029748,,,,,,,
"موصل, مجمع الجاموس",36.4368584,43.0926077,,,,,,,
"موصل, معمل ومعرض أثاث المتوكل",36.4368518,43.1031107,,,,,,,
"موصل, مسجد الحكم العدل",36.4367776,43.1193594,,,,,,,
"موصل, صباح نايف الجبوري",36.4367195,43.0998578,,,,,,,
"موصل, رياض السنجري",36.436706,43.1362362,,,,,,,
"موصل, بلال الجبوري",36.4366974,43.1130438,,,,,,,
"موصل, اسواق التعليم",36.4366827,43.1171618,,,,,,,
"موصل, مكتب دليل للعقار",36.4366706,43.1171361,,,,,,,
"موصل, مولدة مجمع النور",36.4366434,43.1063456,,,,,,,
"موصل, جمعية النور (مجمع النور السكني)",36.4364217,43.1077133,,,,,,,
"موصل, سنتر ماشاء الله",36.4363834,43.1612859,,,,,,,
"موصل, مقبرة بعويزة",36.4363737,43.1495946,,,,,,,
"موصل, بيوت أولاد محمد جواد",36.436361,43.1554187,,,,,,,
"موصل, سعد العباوي",36.4363126,43.1008031,,,,,,,
"موصل, مسجد عبدالغني ابراهيم الأمين",36.436312,43.1582793,,,,,,,
"موصل, بيت عزوز القروي",36.4362302,43.0990802,,,,,,,
"موصل, ملحق التربية الثانية",36.436203,43.1361615,,,,,,,
"موصل, مدرسة النبراس الاهلية",36.4361921,43.1146191,,,,,,,
"موصل, جامع الحافظ",36.4361396,43.0990521,,,,,,,
"موصل, اراضي طلال ابو رامي",36.4360585,43.0990864,,,,,,,
"موصل, ابويوسف الطائي",36.436042,43.156853,,,,,,,
"موصل, ابراج التعليم لتجارة العقارات",36.4360352,43.1155064,,,,,,,
"موصل, Ahmed ramzy",36.4360201,43.1378948,,,,,,,
"موصل, كلية نركال الجامعة /نينوى",36.4359392,43.1040517,,,,,,,
